input_id	dealiased_id	standard_id	short_id
doi:10.1073/pnas.0507655102	doi:10.1073/pnas.0507655102	doi:10.1073/pnas.0507655102	qXsETMbA
jif	jif	jif	16V0td5f2
pagerank	pagerank	pagerank	zeuTsDVX
doi:10.1038/s41586-019-0941-9	doi:10.1038/s41586-019-0941-9	doi:10.1038/s41586-019-0941-9	UTLLCTKy
doi:10.1371/journal.pbio.1002541	doi:10.1371/journal.pbio.1002541	doi:10.1371/journal.pbio.1002541	kZI40ZXS
doi:10.1016/j.joi.2010.01.002	doi:10.1016/j.joi.2010.01.002	doi:10.1016/j.joi.2010.01.002	11IkPxdIL
doi:10.1007/s11192-017-2626-1	doi:10.1007/s11192-017-2626-1	doi:10.1007/s11192-017-2626-1	12CYfIcWF
doi:10.1162/qss_a_00068	doi:10.1162/qss_a_00068	doi:10.1162/qss_a_00068	PGRGcmLi
doi:10.1126/science.1240319	doi:10.1126/science.1240319	doi:10.1126/science.1240319	62Q1rmv4
doi:10.1017/S0269889720000022	doi:10.1017/S0269889720000022	doi:10.1017/s0269889720000022	Hw4ZDEnz
doi:10.1007/s11192-020-03406-8	doi:10.1007/s11192-020-03406-8	doi:10.1007/s11192-020-03406-8	7n76ZZPt
doi:10.1016/j.joi.2017.05.014	doi:10.1016/j.joi.2017.05.014	doi:10.1016/j.joi.2017.05.014	3FJspt0W
doi:10/f48tvt	doi:10/f48tvt	doi:10.1016/j.joi.2013.06.001	15JxaxOiR
doi:10.1007/s11192-022-04402-w	doi:10.1007/s11192-022-04402-w	doi:10.1007/s11192-022-04402-w	AkQLg7kt
doi:10.5860/crln.68.5.7804	doi:10.5860/crln.68.5.7804	doi:10.5860/crln.68.5.7804	4TkOo7Oy
doi:10.1021/pr800548z	doi:10.1021/pr800548z	doi:10.1021/pr800548z	UQbCNqUe
doi:10.1038/415062a	doi:10.1038/415062a	doi:10.1038/415062a	1GphepDNl
doi:10/c7fpg4	doi:10/c7fpg4	doi:10.1016/s0168-3659(03)00005-1	NmOwHa9H
doi:10.1126/science.1089389	doi:10.1126/science.1089389	doi:10.1126/science.1089389	IkV2K836
doi:10.1166/jnn.2002.105	doi:10.1166/jnn.2002.105	doi:10.1166/jnn.2002.105	19ryujP9j
horcas2007wsxm	horcas2007wsxm	horcas2007wsxm	11usgA4JE
doi:10/dqsg2c	doi:10/dqsg2c	doi:10.1016/s0006-3495(03)74861-9	JJ2LW0nT
doi:10.1038/nbt895	doi:10.1038/nbt895	doi:10.1038/nbt895	NkJaVLEB
doi:10.1126/science.1077194	doi:10.1126/science.1077194	doi:10.1126/science.1077194	18Ot4SCqv
doi:10.1126/science.1083780	doi:10.1126/science.1083780	doi:10.1126/science.1083780	dYAYQycA
doi:10.1177/31.8.6863900	doi:10.1177/31.8.6863900	doi:10.1177/31.8.6863900	PRPDi07h
doi:10.1007/bf01682147	doi:10.1007/bf01682147	doi:10.1007/bf01682147	nMCUqTIP
