input_id	dealiased_id	standard_id	short_id
doi:10.1007/bf00514331	doi:10.1007/bf00514331	doi:10.1007/bf00514331	1BGliKdI9
doi:10/dptnbm	doi:10/dptnbm	doi:10.1016/0169-328x(89)90061-2	sc5wklkt
doi:10.1007/bf02405306	doi:10.1007/bf02405306	doi:10.1007/bf02405306	TnowewWM
doi:10.1073/pnas.85.20.7815	doi:10.1073/pnas.85.20.7815	doi:10.1073/pnas.85.20.7815	CBI8FXe4
doi:10.1126/science.2470152	doi:10.1126/science.2470152	doi:10.1126/science.2470152	jDBckAP
doi:10.1126/science.3131879	doi:10.1126/science.3131879	doi:10.1126/science.3131879	hLSwKASj
doi:10.1021/acs.jproteome.7b00370	doi:10.1021/acs.jproteome.7b00370	doi:10.1021/acs.jproteome.7b00370	qVEHb5K
doi:10.1158/2159-8290.cd-19-1228	doi:10.1158/2159-8290.cd-19-1228	doi:10.1158/2159-8290.cd-19-1228	MVZ9xwhJ
doi:10.1093/bioinformatics/btr094	doi:10.1093/bioinformatics/btr094	doi:10.1093/bioinformatics/btr094	197hbKiL0
doi:10.1093/bioinformatics/btn452	doi:10.1093/bioinformatics/btn452	doi:10.1093/bioinformatics/btn452	EvwvRYzE
doi:10.1186/1471-2105-11-148	doi:10.1186/1471-2105-11-148	doi:10.1186/1471-2105-11-148	vNOeEVfp
doi:10.1002/pmic.201400515	doi:10.1002/pmic.201400515	doi:10.1002/pmic.201400515	vJbGwiV7
doi:10.1016/j.cell.2020.05.032	doi:10.1016/j.cell.2020.05.032	doi:10.1016/j.cell.2020.05.032	sc8DMTGM
doi:10.1101/gr.1680803	doi:10.1101/gr.1680803	doi:10.1101/gr.1680803	VvZTjIen
doi:10/cfgb98	doi:10/cfgb98	doi:10.1016/s0168-9525(97)01223-7	C4NTSwn4
doi:10/ch565r	doi:10/ch565r	doi:10.1016/s0968-0004(00)01726-6	G2ZiZdRY
doi:10.1126/science.274.5287.621	doi:10.1126/science.274.5287.621	doi:10.1126/science.274.5287.621	mcDRypJj
doi:10.1097/aog.0000000000001951	doi:10.1097/aog.0000000000001951	doi:10.1097/aog.0000000000001951	PexGnVkD
doi:10.1097/gim.0b013e31821024ca	doi:10.1097/gim.0b013e31821024ca	doi:10.1097/gim.0b013e31821024ca	Msb0hwgj
doi:10.1038/35057062	doi:10.1038/35057062	doi:10.1038/35057062	14yhCmDBZ
doi:10.1126/science.270.5244.1945	doi:10.1126/science.270.5244.1945	doi:10.1126/science.270.5244.1945	7ZlRSgYT
doi:10.1126/science.8211127	doi:10.1126/science.8211127	doi:10.1126/science.8211127	153eZYSdV
doi:10.1007/s11192-019-03217-6	doi:10.1007/s11192-019-03217-6	doi:10.1007/s11192-019-03217-6	126JIm8me
arxiv:0905.4913	arxiv:0905.4913	arxiv:0905.4913	To1WoeSQ
networkx	networkx	networkx	15wNo6JtP
doi:10.1007/s11192-014-1308-5	doi:10.1007/s11192-014-1308-5	doi:10.1007/s11192-014-1308-5	hJ4Xxryu
